Species,Abbreviations,Period,Group,FAD_Ma,LAD_Ma,Body_mass_g_postcrania,Body_mass_g_min,Body_mass_g_max,Body_mass_g_median,10k_bootstrap_mean,10k_bootstrap_median,Body_mass_g_equation,Body_mass_mg,Body_mass_g,Brain_volume_cm3,Brain_volume_mm3,Olfactory_bulbs_mm3,Petrosal_lobules_mm3,Neocortex_surface_mm2,Brain_surface_mm2,OB_percentage,PL_percentage,Neorcortex_surface_percentage,Period2,Order,Collection number,Status,NALMA/SALMA/ELMA/ALMA
Rapamys_atramontis,Ra_at,Eocene,Eocene crown groups,39.8,37.8,NA,1079.52777,1079.52777,1079.52777,1079.52777,1079.52777,1079.52777,1079530,1079.53,6.55822,6558.22,225.338,115.555,763.645,3321.41,3.461386261,1.784192176,22.99159092,middle Eocene,Rodentia,AMNH 128706; AMNH 128704,literature,Duchesnean Du
Plesiadapis_cookei,Pl_co,Paleocene,Paleocene,57,56.5,NA,2870.721427,3947.950502,3341.352522,3413.174623,3415.480912,3386.674817,3386670,3386.67,5,5000,390,NA,NA,NA,7.8,NA,NA,late Paleocene,Plesiadapiforms,UM 87990,literature,middle Clarkforkian Cf2
Plesiadapis_tricuspidens,Pl_tr,Paleocene,Paleocene,57.7,56,NA,1992.427727,4015.742896,2768.235057,2995.834231,2992.529392,2925.46856,2925470,2925.47,5.21,5210,136,NA,590,2960,2.610364683,NA,19.93243243,late Paleocene,Plesiadapiforms,MNHN CR 125,literature,Cernaysian
Microsyops_annectens,Mi_an,Eocene,Eocene stem groups,48.6,47.9,NA,1432.448844,1432.448844,1432.448844,1432.448844,1432.448844,1432.448844,1432450,1432.45,5.9,5900,300.55,NA,632.56,2956.19,5.094067797,NA,21.39781273,middle Eocene,Plesiadapiforms,UW 12362,literature,Bridgerian Br3
Ignacius_graybullianus,Ig_gr,Eocene,Eocene stem groups,55.75,55.5,NA,270.5583338,270.5583338,270.5583338,270.5583338,270.5583338,270.5583338,270560,270.56,1.995,1995,109.707,NA,359.84,1768.785,5.496792877,NA,20.34390839,early Eocene,Plesiadapiforms,USNM 421608; UF 26000,literature,Wasatchian Wa1
Rooneyia_viejaensis,Ro_vi,Eocene,Eocene crown groups,39.8,37.8,NA,341.312908,341.312908,341.312908,341.312908,341.312908,341.312908,341310,341.31,7.23,7230,68,60.5297,1054.55,2409.33,0.940525588,0.837201936,43.76942968,middle Eocene,Primates,TMM 40688-7,literature/segmented,Duchesnean Du
Adapis_parisiensis,Ad_pa,Eocene,Eocene crown groups,37.8,33.9,NA,1870.447757,1870.447757,1870.447757,1870.447757,1870.447757,1870.447757,1870450,1870.45,8.81,8810,212,44.9179,980.22,3168.94,2.406356413,0.509851305,30.93210979,late Eocene,Primates,NHM M 1345,literature/segmented,Headonian = Chadronian
Notharctus_tenebrosus,No_te,Eocene,Eocene crown groups,49.25,48.6,NA,1153.82779,2971.366548,2137.550163,2067.42276,2084.069108,3093.015851,2100070,2100.07,7.623333333,7623.333333,149,91.07945,917.83,3035.943333,1.946974682,1.189406015,30.23211896,middle Eocene,Primates,AMNH 127167; USNM V 23277; USNM V 23278,literature/segmented,Bridgerian Br2
Smilodectes_gracilis,Sm_gr,Eocene,Eocene crown groups,49.25,47.9,NA,914.3632279,1702.309826,1168.934507,1307.075244,1303.02048,1646.943837,1238640,1238.64,8.37,8370,137.55,118.02,1062.7875,3387.77,1.628570826,1.436331374,31.37130029,middle Eocene,Primates,USNM V 17994; USNM V 17996; USNM V 21815; UM 32773 (=MPM 2612),literature/segmented,Bridgerian Br2-Br3
Microchoerus_erinaceus,Mi_er,Eocene,Eocene crown groups,37.5,37,NA,493.3333333,493.3333333,493.3333333,493.3333333,493.3333333,493.3333333,493330,493.33,4.26,4260,41,48.2543,771.76,1866.67,0.962441315,1.132730047,41.34421189,late Eocene,Primates,UM-PRR1771,literature/segmented,MP 17b
Necrolemur_antiquus,Ne_an,Eocene,Eocene crown groups,37.8,33.75,NA,120.5305899,120.5305899,120.5305899,120.5305899,120.5305899,120.5305899,120530,120.53,2.355,2355,45.6,25.5936,NA,1266,1.936305732,1.08677707,NA,middle to late Eocene,Primates,MaPhQ 289,literature/segmented,MP17 - MP20
Moeritherium_lyonsi,Mo_ly,Eocene,Eocene crown groups,37.8,33.9,NA,235000,235000,235000,235000,235000,235000,235000000,235000,240,240000,NA,NA,NA,NA,NA,NA,NA,middle to late Eocene,Afrotheria,BM 9176,literature,Priabonian
Prorastomus_sirenoides,Pr_si,Eocene,Eocene crown groups,56,47.8,NA,98155.5,98155.5,98155.5,98155.5,98155.5,98155.5,98155500,98155.5,86.865,86865,3075,NA,NA,NA,3.539975825,NA,NA,late Early Eocene,Afrotheria,BMNH 44897,literature, Ypresian
Seggeurius_amourensis,Se_am,Eocene,Eocene crown groups,56,47.8,NA,2932,2932,2932,2932,2932,2932,2932000,2932,4.942,4942,NA,NA,NA,NA,NA,NA,NA,early Eocene,Afrotheria,UOK-210,literature, Ypresian
Basilosaurus_cetoides,Ba_ce,Eocene,Eocene crown groups,37.8,33.9,NA,6480000,6480000,6480000,6480000,6480000,6480000,6480000000,6480000,2240,2240000,NA,NA,NA,NA,NA,NA,NA,late Eocene,Archaeoceti (Basilosauridae),Gingerich (1998),literature,Priabonian
Basilosaurus_isis,Ba_is,Eocene,Eocene crown groups,41.2,33.9,NA,6480000,6480000,6480000,6480000,6480000,6480000,6480000000,6480000,2800,2800000,NA,NA,NA,NA,NA,NA,NA,middle to late Eocene,Archaeoceti (Basilosauridae),"UM 94800, 94801, 97503",literature,Bartonian-Priabonian
Dorudon_atrox,Do_at,Eocene,Eocene crown groups,41.2,33.9,NA,1126000,1126000,1126000,1126000,1126000,1126000,1126000000,1126000,1173,1173000,NA,NA,NA,NA,NA,NA,NA,middle to late Eocene,Archaeoceti (Basilosauridae),"UM 101215, 101222",literature,Bartonian-Priabonian
Saghacetus_osiris,Sa_os,Eocene,Eocene crown groups,37.8,33.9,NA,350000,350000,350000,350000,350000,350000,350000000,350000,485,485000,NA,NA,NA,NA,NA,NA,NA,late Eocene,Archaeoceti (Basilosauridae),UM 97550; BMNH 10228,literature,Priabonian
Zygorhiza_kochii,Zy_ko,Eocene,Eocene crown groups,35.4,33.6,NA,998000,998000,998000,998000,998000,998000,998000000,998000,1189,1189000,NA,NA,NA,NA,NA,NA,NA,late Eocene,Archaeoceti (Basilosauridae),PM-459,literature,in Priabonian
Rodhocetus_kasrani,Ro_ka,Eocene,Eocene crown groups,47.8,41.2,NA,590000,590000,590000,590000,590000,590000,590000000,590000,290,290000,NA,NA,NA,NA,NA,NA,NA,middle Eocene,Archaeoceti (Protocetidae),"GSP-UM 1853, 3012",literature,Lutetian
Dalanistes_ahmedi,Da_ah,Eocene,Eocene crown groups,47.8,41.2,NA,750000,750000,750000,750000,750000,750000,750000000,750000,400,400000,NA,NA,NA,NA,NA,NA,NA,middle Eocene,Archaeoceti (Remingtonocetidae),"GSP-UM 3099, 3106, 3165",literature,Lutetian
Notostylops_murinus,No_mu,Eocene,Eocene stem groups,41.5,38.5,NA,8205.140056,11537.65212,9871.396086,9860.241927,9844.097927,8891.965362,8891970,8891.97,17,17000,NA,NA,NA,NA,NA,NA,NA,late Eocene,Notoungulata,MNBA 10506,literature,Barrancan
Oldfieldthomasia_debilitata,Ol_de,Eocene,Eocene stem groups,41.5,38.5,NA,1238,1238,1238,1238,1238,1238,1238000,1238,13,13000,NA,NA,NA,NA,NA,NA,NA,late Eocene,Notoungulata,AMNH 28780,literature,Barrancan
Rhyphodon_lankesteri,Rh_la,Eocene,Eocene stem groups,34.3,33.5,NA,70000,70000,70000,70000,70000,70000,70000000,70000,43,43000,NA,NA,NA,NA,NA,NA,NA,late Eocene,Notoungulata,AMNH 29414,literature,Mustersan
Palaeophyllophora_oltina,Pa_ol,Eocene,Eocene crown groups,37,35,NA,36.0615,36.0615,36.0615,36.0615,36.0615,36.0615,36061.5,36.0615,0.5259,525.9,15.5,11.9,NA,NA,2.947328389,2.262787602,NA,late Eocene,Chiroptera,NMBS QP784,literature,MP 18
Palaeophyllophora_quercyi,Pa_qu,Eocene,Eocene crown groups,40.1,33.9,NA,23.639,23.639,23.639,23.639,23.639,23.639,23639,23.639,0.3646,364.6,11.7,6.5,NA,NA,3.20899616,1.782775645,NA,late Eocene,Chiroptera,UM ACQ 6627,literature,MP 16 - MP 19
Ptilodus_montanus,Pt_mo,Paleocene,Paleocene,63.5,62.5,NA,155.8798361,275.9953032,215.9375697,215.8142354,215.6802137,215.9375697,215940,215.94,1.48,1480,160,NA,NA,NA,10.81081081,NA,NA,early Paleocene,Multituberculates,AMNH 35490; AMNH 35491; USNM 6076; USNM 9710,literature,Torrejonian To2
Kryptobaatar_dashzevegi,Kr_da,Mesozoic,Mesozoic,76.4,72.1,NA,33.00746448,66.78947849,37.65150539,49.95714424,50.10277276,45.81614945,45820,45.82,0.343,343,20.044,13.844,NA,NA,5.843731778,4.036151603,NA,late Cretaceous,Multituberculates,PSS-MAE 101,literature,late Campanian
Litovoi_tholocephalos,Li_th,Mesozoic,Mesozoic,72.1,66,NA,248.2812478,248.2812478,248.2812478,248.2812478,248.2812478,248.2812478,248280,248.28,0.767,767,111.2,43.58,NA,NA,14.49804433,5.681877445,NA,Late Cretaceous,Multituberculates,LPB (FGGUB) M.1700,literature,Maastrichtian
Chulsanbaatar_vulgaris,Ch_vu,Mesozoic,Mesozoic,83.6,80.6,NA,15.93998103,15.93998103,15.93998103,15.93998103,15.93998103,15.93998103,15940,15.94,0.22,220,NA,NA,NA,NA,NA,NA,NA,late Cretaceous,Multituberculates,ZPAL MgM-I/88,literature,early Campanian
Kennalestes_gobiensis,Ke_go,Mesozoic,Mesozoic,76.4,72.1,NA,47.89000214,47.89000214,47.89000214,47.89000214,47.89000214,47.89000214,47890,47.89,0.299,299,30,NA,NA,NA,10.03344482,NA,NA,late Cretaceous,Asioryctitheria,ZPAL MgM-I/2 and ZPAL MgM-I/3,literature,late Campanian
Asioryctes_nemegetensis,As_ne,Mesozoic,Mesozoic,83.6,80.6,NA,53.75571718,53.75571718,53.75571718,53.75571718,53.75571718,53.75571718,53760,53.76,0.5,500,47,NA,NA,NA,9.4,NA,NA,late Cretaceous,Asioryctitheria,ZPAL MgM-I/56,literature,early Campanian
Zalambdalestes_lechei,Za_le,Mesozoic,Mesozoic,76.4,72.1,NA,230.7338124,230.7338124,230.7338124,230.7338124,230.7338124,230.7338124,230730,230.73,1.02,1020,86,NA,NA,NA,8.431372549,NA,NA,late Cretaceous,Zalambdalestidae,ZPAL MgM-I/14 and ZPAL MgM-I/16,literature,late Campanian
Pucadelphys_andinus,Pu_an,Paleocene,Paleocene,64.8,64,NA,64.25221474,64.25221474,64.25221474,64.25221474,64.25221474,64.25221474,64250,64.25,0.311506,311.506,36.41,2.971,NA,NA,11.68837839,0.9537537,NA,early Paleocene,Stem marsupial,MHNC 8266,literature,Tiupampan = Torrejonian To1
Vincelestes_neuquenianus,Vi_ne,Mesozoic,Mesozoic,130.8,123,NA,472.8120362,737.7437342,673.9263863,606.0717727,606.5971077,628.1607189,628160,628.16,2.371,2371,256.238,5.365,NA,NA,10.80716997,0.226275833,NA,early Cretaceous,Cladotheria,MACN-N 04,literature,Barremian to Early Aptian
Vintana_sertichi,Vi_se,Mesozoic,Mesozoic,72.1,66,NA,6793.490708,6793.490708,6793.490708,6793.490708,6793.490708,6793.490708,6793490,6793.49,18.2975,18297.5,2656.6,NA,NA,NA,14.51892335,NA,NA,late Cretaceous,Allotheria,UA 9972,literature,Maastrichtian
Triconodon_mordax,Tr_mo,Mesozoic,Mesozoic,163.5,157.3,NA,143.298242,143.298242,143.298242,143.298242,143.298242,143.298242,143300,143.3,0.82,820,90,NA,NA,NA,10.97560976,NA,NA,late Jurassic,Mammalia,BM 47763,literature,Purbekian = ?Oxfordian
Hadrocodium_wui,Ha_wu,Mesozoic,Mesozoic,199.3,190.8,NA,2.366821593,2.366821593,2.366821593,2.366821593,2.366821593,2.366821593,2370,2.37,0.04515,45.15,6.406,0.127,NA,NA,14.18826135,0.281284607,NA,early Jurassic,Mammaliaformes,IVPP 8275,literature,Sinemurian
Morganucodon_sp.,Mo_sp,Mesozoic,Mesozoic,199.3,190.8,NA,55.26562013,55.26562013,55.26562013,55.26562013,55.26562013,55.26562013,55270,55.27,0.325,325,NA,NA,NA,NA,NA,NA,NA,early Jurassic,Mammaliaformes,IVPP 8685,literature,Sinemurian
